"Game","ReleaseDate","Genre","TotalEarnings","OfflineEarnings","PercentOffline","TotalPlayers","TotalTournaments"
"Age of Empires",1997,"Strategy",736284.75,522378.17,0.70947845925099,624,341
"Age of Empires II",1999,"Strategy",3898508.73,1361409.22,0.349212818102372,2256,1939
"Age of Empires III",2005,"Strategy",122256.72,44472.6,0.363764053215234,172,179
"Age of Empires IV",2021,"Strategy",1190813.44,439117.93,0.368754596857758,643,423
"Age of Empires Online",2011,"Strategy",11462.98,775,0.0676089463647324,52,68
"Age of Mythology",2002,"Strategy",188619.58,86723.77,0.459781375825352,236,298
"Among Us",2018,"Strategy",86000,0,0,14,8
"Auto Chess",2019,"Strategy",1163720.28,1038222.28,0.892157933348038,133,52
"Brawl Stars",2018,"Strategy",8141511.8,3848208.14,0.472665057121209,698,207
"Chess.com",2007,"Strategy",8609043.36,853000.02,0.0990818589627826,1158,779
"chess24",2014,"Strategy",4318475.43,0,0,90,29
"chessarena.com",2021,"Strategy",263363.64,54000,0.205039693406425,134,22
"Clash of Clans",2012,"Strategy",6085742.37,3722139.37,0.611616322825049,544,81
"Clash Royale",2016,"Strategy",9059840.93,4386263.8,0.484143577562791,563,132
"Clash Royale x Chess",2022,"Strategy",0,0,NA,0,0
"Command & Conquer 3",2007,"Strategy",53086.67,53086.67,1,9,8
"Command & Conquer: Red Alert",1996,"Strategy",15000,15000,1,8,1
"Company of Heroes 2",2013,"Strategy",8561.22,7956.22,0.929332501676163,11,6
"ComPet",2016,"Strategy",2000,0,0,50,1
"Dead By Daylight",2016,"Strategy",60000,0,0,35,9
"Dead by Daylight Mobile",2020,"Strategy",10000,0,0,0,1
"Dota Underlords",2019,"Strategy",26024.18,0,0,62,36
"Endgods",2015,"Strategy",0,0,NA,0,0
"Farming Simulator 19",2018,"Strategy",689617.9,228639.83,0.331545671885837,145,32
"Farming Simulator 22",2021,"Strategy",181663.39,136960.97,0.753927194686833,48,8
"GeoGuessr",2013,"Strategy",74653.5,74653.5,1,34,2
"Grey Goo",2015,"Strategy",36400,30400,0.835164835164835,18,5
"Heroes of Might and Magic III",1999,"Strategy",0,0,NA,0,0
"Identity V",2018,"Strategy",5796530.92,5225333.4,0.901458729732783,375,29
"Internet Chess Club",1995,"Strategy",10000,0,0,6,1
"Iron Harvest",2020,"Strategy",0,0,NA,0,0
"Legion TD 2",2021,"Strategy",0,0,NA,0,0
"Lichess",2010,"Strategy",1308106.01,0,0,366,183
"Loco Dojo Unleashed",2021,"Strategy",1000,1000,1,4,1
"Men of War: Assault Squad 2",2014,"Strategy",0,0,NA,0,0
"Multigaming",2000,"Strategy",631156.54,573837.5,0.909184114609666,58,12
"Playchess.com",2002,"Strategy",32866.58,0,0,116,9
"Pokémon GO",2016,"Strategy",557990,552000,0.989265040592125,324,72
"Pokémon VGC",2012,"Strategy",667352,647500,0.970252580347403,322,48
"Prophecy",2020,"Strategy",13000,0,0,27,4
"Rise of Nations: Rise of Legends",2006,"Strategy",69600,69600,1,8,1
"Sea of Thieves",2016,"Strategy",1e+05,0,0,67,4
"Star Wars: Squadrons",2020,"Strategy",800,0,0,4,1
"StarCraft II",2010,"Strategy",42692707.57,33672991.36,0.788729346921578,2280,7510
"StarCraft: Brood War",1998,"Strategy",7555915.68,7299575.96,0.966074301136193,663,542
"StarCraft: Evo Complete (Mod)",2024,"Strategy",21687.9,0,0,35,10
"StarCraft: Remastered",2017,"Strategy",5860787.7,1959028.34,0.334260246280547,413,829
"Stormgate",2024,"Strategy",39778.85,15000,0.377084807630185,89,32
"Summoners War: Sky Arena",2014,"Strategy",792000,512000,0.646464646464647,33,7
"Super Mario Party",2018,"Strategy",220,220,1,4,1
"Supreme Commander",2007,"Strategy",4901.26,4901.26,1,0,1
"Supreme Commander: Forged Alliance",2007,"Strategy",1290.01,1290.01,1,0,1
"Teamfight Tactics",2019,"Strategy",8765860.25,3290172.58,0.37533938326247,871,109
"Temtem",2022,"Strategy",60500,0,0,35,9
"TEPPEN",2019,"Strategy",626226.6,456721.47,0.729323011829903,53,24
"The Binding of Isaac",2011,"Strategy",15000,0,0,16,1
"Total Annihilation",1997,"Strategy",15000,15000,1,2,1
"UNO",2016,"Strategy",30000,0,0,28,3
"WarCraft III",2002,"Strategy",6307153.73,5368595.62,0.851191496167955,768,1550
"WarCraft III: Reforged",2020,"Strategy",2139958.1,594399.8,0.277762354318993,197,588
"Warhammer 40,000: Dawn of War",2005,"Strategy",79816.5,79816.5,1,7,3
"Warhammer 40,000: Dawn of War II",2009,"Strategy",0,0,NA,0,0
"Warparty",2019,"Strategy",1175,0,0,6,2
"Windjammers",1994,"Strategy",5651.47,5162.16,0.913418986564557,36,16
"World in Conflict",2007,"Strategy",293338.23,293338.23,1,38,11
"World of Tanks",2010,"Strategy",6205809.8,5479387.22,0.882944756057461,922,94
"World of Tanks Blitz",2016,"Strategy",63330,60000,0.947418285172904,14,6
"ZeroSpace",2024,"Strategy",20000,0,0,11,2
"After-H",2019,"First-Person Shooter",83863.4,66728.4,0.795679640939909,106,18
"Aim Gods",2020,"First-Person Shooter",250000,0,0,2,1
"Aliens versus Predator 2",2001,"First-Person Shooter",43500,43500,1,2,2
"Alliance of Valiant Arms",2009,"First-Person Shooter",0,0,NA,0,0
"Archangel Hellfire",2017,"First-Person Shooter",5500,2000,0.363636363636364,14,9
"Battalion 1944",2018,"First-Person Shooter",206654.67,129863.88,0.628410091095449,135,29
"Battlefield 1",2016,"First-Person Shooter",0,0,NA,0,0
"Battlefield 2",2005,"First-Person Shooter",94715.22,94715.22,1,0,13
"Battlefield 2142",2006,"First-Person Shooter",18546.14,18546.14,1,0,4
"Battlefield 3",2011,"First-Person Shooter",25407.46,25407.46,1,5,7
"Battlefield 4",2013,"First-Person Shooter",245766.46,212540.31,0.864806003227617,204,145
"Battlefield Hardline",2015,"First-Person Shooter",13463.28,13463.28,1,20,1
"Battlefield V",2018,"First-Person Shooter",0,0,NA,0,0
"Beat Aim",2019,"First-Person Shooter",430,0,0,12,6
"Big Buck Hunter Arcade",2016,"First-Person Shooter",76200,76200,1,3,1
"Black Squad",2017,"First-Person Shooter",8480.72,0,0,57,17
"Blaston",2020,"First-Person Shooter",19623.06,1780,0.0907096039047936,27,22
"Borderlands 3",2019,"First-Person Shooter",50000,0,0,16,1
"Brink",2011,"First-Person Shooter",21505.82,21505.82,1,5,1
"Call of Duty",2003,"First-Person Shooter",54799.77,54799.77,1,66,4
"Call of Duty 2",2005,"First-Person Shooter",75090.24,69136.44,0.920711400043468,53,17
"Call of Duty 4: Modern Warfare",2007,"First-Person Shooter",425409.27,393007.11,0.923832971481792,431,87
"Call of Duty Online",2013,"First-Person Shooter",949542,949542,1,0,8
"Call of Duty: Advanced Warfare",2014,"First-Person Shooter",2611808.93,2267636.14,0.868224361266733,783,405
"Call of Duty: Black Ops",2010,"First-Person Shooter",375793.48,346969.18,0.92329749840258,118,23
"Call of Duty: Black Ops 2",2012,"First-Person Shooter",1479139.25,1430071.63,0.966826909636804,187,54
"Call of Duty: Black Ops 4",2018,"First-Person Shooter",6734938.95,6631161.95,0.984591248596247,389,82
"Call of Duty: Black Ops Cold War",2020,"First-Person Shooter",6549000,3500000,0.534432737822568,299,92
"Call of Duty: Black Ops III",2015,"First-Person Shooter",3939783.29,3783077.02,0.960224647280028,424,78
"Call of Duty: Blackout",2018,"First-Person Shooter",611608.35,321008.35,0.524859331956472,175,18
"Call of Duty: Ghosts",2013,"First-Person Shooter",1594185.25,1504472.89,0.943725260285779,199,76
"Call of Duty: Infinite Warfare",2016,"First-Person Shooter",4166705.06,4049855.06,0.971956258406253,343,84
"Call of Duty: Mobile",2019,"First-Person Shooter",8364832.75,5834199.69,0.697467584154626,471,43
"Call of Duty: Modern Warfare",2019,"First-Person Shooter",7500784.5,678562.5,0.0904655373047979,396,81
"Call of Duty: Modern Warfare 2",2009,"First-Person Shooter",117479.89,51010.64,0.434207420521078,69,22
"Call of Duty: Modern Warfare 3",2011,"First-Person Shooter",1161041.56,1144955.66,0.986145284928474,217,49
"Call of Duty: Modern Warfare II",2022,"First-Person Shooter",6121126.9,5390000,0.880556813811522,227,38
"Call of Duty: Modern Warfare III",2023,"First-Person Shooter",6020000,5800000,0.963455149501661,145,15
"Call of Duty: Vanguard",2021,"First-Person Shooter",6321000,5080000,0.803670305331435,261,91
"Call of Duty: Warzone",2020,"First-Person Shooter",12904809.95,1686000,0.130648960080191,1279,406
"Call of Duty: Warzone 2.0",2022,"First-Person Shooter",0,0,NA,0,0
"Call of Duty: WWII",2017,"First-Person Shooter",4578021,4498605,0.982652766337245,296,77
"Chex Quest",1996,"First-Person Shooter",100,0,0,2,1
"Contractors",2018,"First-Person Shooter",1000,0,0,20,1
"Counter-Strike",2000,"First-Person Shooter",13624160.18,12905226,0.947230936035574,4327,1026
"Counter-Strike 2",2023,"First-Person Shooter",21155138.09,14444777.21,0.682802312542125,2731,424
"Counter-Strike Online",2016,"First-Person Shooter",406989.6,406989.6,1,70,12
"Counter-Strike: Condition Zero",2004,"First-Person Shooter",162150.6,162150.6,1,111,3
"Counter-Strike: Global Offensive",2012,"First-Person Shooter",162489706.76,105130836.17,0.646999974744739,16518,7033
"Counter-Strike: Source",2004,"First-Person Shooter",3113222.29,2872766.03,0.922762900428803,1502,331
"Critical Ops",2015,"First-Person Shooter",98106.41,40000,0.407720555670114,101,5
"CrossFire",2007,"First-Person Shooter",25128357.96,21774364.07,0.866525544751512,1140,405
"CrossFire HD",2022,"First-Person Shooter",1934161.1,1373434,0.710092866617987,139,7
"CrossFire Mobile",2015,"First-Person Shooter",6780944.77,6022238.02,0.888111940779013,282,40
"Crysis",2007,"First-Person Shooter",11340.95,11340.95,1,0,2
"Day of Defeat",2003,"First-Person Shooter",51180.41,51180.41,1,43,4
"Day of Defeat: Source",2005,"First-Person Shooter",14068.57,10286.47,0.731166707064044,50,8
"Descent 3",1999,"First-Person Shooter",50000,50000,1,1,1
"Diabotical",2020,"First-Person Shooter",265072.09,25842.43,0.0974920822482669,399,388
"Doom (2016)",2016,"First-Person Shooter",7000,7000,1,6,1
"Doom 3",2004,"First-Person Shooter",257748.16,257748.16,1,14,4
"Doom II: Hell on Earth",1994,"First-Person Shooter",5108.56,2200,0.430649732997166,14,8
"DOOMBRINGER",2017,"First-Person Shooter",567.77,0,0,8,4
"Echo Combat",2018,"First-Person Shooter",46800,46800,1,16,1
"Enemy Territory: Quake Wars",2007,"First-Person Shooter",60923.12,60923.12,1,27,4
"Escape from Tarkov",2020,"First-Person Shooter",114600,0,0,150,4
"EV.IO",2021,"First-Person Shooter",20000,15000,0.75,27,2
"Evolve",2015,"First-Person Shooter",131509.05,126054.1,0.958520345177765,110,33
"F.E.A.R.",2005,"First-Person Shooter",178000,178000,1,20,5
"Ghost Recon Advanced Warfighter",2006,"First-Person Shooter",24000,24000,1,0,2
"Gundam Versus",2017,"First-Person Shooter",280,280,1,6,1
"Guns of Boom",2017,"First-Person Shooter",198750,190000,0.955974842767296,8,21
"Halo 2",2004,"First-Person Shooter",1626762.47,1489362.47,0.915537761330331,126,74
"Halo 2 Anniversary",2014,"First-Person Shooter",468705.05,468705.05,1,97,20
"Halo 3",2007,"First-Person Shooter",2318079.4,2161479.4,0.932444074176234,214,43
"Halo 4",2012,"First-Person Shooter",430748.76,428498.76,0.994776537487885,66,19
"Halo 5: Guardians",2015,"First-Person Shooter",7161730.97,6783930.97,0.947247390109657,248,109
"Halo Infinite",2021,"First-Person Shooter",7003555.03,6522700.03,0.931341297678074,275,58
"Halo: Combat Evolved",2001,"First-Person Shooter",299281,299281,1,118,39
"Halo: Reach",2010,"First-Person Shooter",772089.97,712089.97,0.922288849316356,121,29
"Ironsight",2018,"First-Person Shooter",0,0,NA,0,0
"Islands of Nyne",2017,"First-Person Shooter",0,0,NA,0,0
"Lemnis Gate",2021,"First-Person Shooter",1564.7,0,0,6,5
"MechWarrior Online",2013,"First-Person Shooter",143490,143490,1,0,1
"Metal Gear Online",2008,"First-Person Shooter",8000,0,0,37,8
"Onward",2016,"First-Person Shooter",161820,123000,0.760103819058213,92,8
"Overwatch",2016,"First-Person Shooter",35259225.38,18840032.08,0.534329154340599,4047,847
"Overwatch 2",2022,"First-Person Shooter",12861360.04,8210380.04,0.638375724998365,1329,138
"Painkiller",2004,"First-Person Shooter",1015000,1015000,1,48,13
"Paladins",2015,"First-Person Shooter",2490507.6,1789000,0.718327460634932,571,79
"Pavlov",2017,"First-Person Shooter",1260,0,0,19,3
"Pistol Whip",2019,"First-Person Shooter",7500,0,0,13,1
"Point Blank",2008,"First-Person Shooter",1903561.1,1725721.63,0.906575381268298,583,112
"Quake 4",2005,"First-Person Shooter",564455.57,562204.81,0.996012511666773,107,54
"Quake Champions",2017,"First-Person Shooter",3520578.25,2563328.35,0.728098672426895,334,290
"Quake II",1997,"First-Person Shooter",130725.98,130100,0.995211510366952,37,12
"Quake III Arena",1999,"First-Person Shooter",1198106.02,1180293.99,0.985133177112323,309,115
"Quake Live",2010,"First-Person Shooter",684854.12,599972.93,0.876059459202786,225,411
"QuakeWorld",1996,"First-Person Shooter",104913.39,99067.16,0.944275654423139,57,16
"Rage",2011,"First-Person Shooter",5000,5000,1,3,1
"Rainbow Six Extraction",2022,"First-Person Shooter",0,0,NA,0,0
"Rainbow Six Siege",2015,"First-Person Shooter",48130526.59,37241404.36,0.773758506264454,3070,568
"Rainbow Six: Vegas",2006,"First-Person Shooter",176400.77,176400.77,1,106,7
"Rainbow Six: Vegas 2",2008,"First-Person Shooter",79000,79000,1,0,8
"Realm Royale",2018,"First-Person Shooter",263000,0,0,47,9
"Reflex",2015,"First-Person Shooter",2458.37,163.66,0.0665725663752812,24,9
"Resistance 2",2008,"First-Person Shooter",50400,0,0,194,1
"Return to Castle Wolfenstein",2001,"First-Person Shooter",113424.3,113424.3,1,50,3
"Rust",2013,"First-Person Shooter",50000,0,0,46,1
"S.K.I.L.L. - Special Force 2",2013,"First-Person Shooter",147532.93,131555.81,0.891704719753075,97,22
"S.T.A.L.K.E.R.: Shadow of Chernobyl",2007,"First-Person Shooter",4901.26,4901.26,1,0,1
"Shadowrun",2007,"First-Person Shooter",24000,24000,1,0,3
"ShootMania Storm",2013,"First-Person Shooter",262090.69,258286.5,0.985485215060482,108,43
"Snapshot VR",2020,"First-Person Shooter",1000,0,0,15,2
"Space Junkies",2019,"First-Person Shooter",30420,24600,0.808678500986193,33,4
"Special Force",2004,"First-Person Shooter",130250,130250,1,0,3
"Splatoon",2015,"First-Person Shooter",1390,0,0,3,4
"Splatoon 2",2017,"First-Person Shooter",8930,8630,0.966405375139978,13,6
"Star Wars Jedi Knight II: Jedi Outcast",2002,"First-Person Shooter",7679.25,7679.25,1,0,1
"Sudden Attack",2005,"First-Person Shooter",0,0,NA,0,0
"Team Fortress 2",2007,"First-Person Shooter",775660.02,438928.41,0.565877315682714,1471,207
"The Finals",2023,"First-Person Shooter",0,0,NA,0,0
"Tower Tag",2020,"First-Person Shooter",5170.41,0,0,25,5
"Uncharted 4: A Thief's End",2016,"First-Person Shooter",46235.07,46235.07,1,5,1
"Unreal Tournament",1999,"First-Person Shooter",89000,89000,1,14,5
"Unreal Tournament (2016)",2016,"First-Person Shooter",5084.97,0,0,82,8
"Unreal Tournament 2003",2002,"First-Person Shooter",147473.91,147473.91,1,33,14
"Unreal Tournament 2004",2004,"First-Person Shooter",152421.78,151871.78,0.996391591805318,54,14
"Unreal Tournament 3",2007,"First-Person Shooter",104977.82,104977.82,1,7,4
"Vail VR",2022,"First-Person Shooter",0,0,NA,0,0
"VAIL VR",2022,"First-Person Shooter",36000,35000,0.972222222222222,30,2
"VALORANT",2020,"First-Person Shooter",32018215.37,19298867.52,0.602746508416656,7465,1316
"Warface",2013,"First-Person Shooter",109555,109555,1,32,2
"Warsow",2012,"First-Person Shooter",183,0,0,2,1
"Wolfenstein: Enemy Territory",2003,"First-Person Shooter",140963.24,138376.87,0.981652166905358,152,18
"Xonotic",2010,"First-Person Shooter",14935.01,26.07,0.001745562942375,96,44
"Zombieland VR: Headshot Fever",2021,"First-Person Shooter",10000,0,0,4,1
"Zula",2015,"First-Person Shooter",162500,160000,0.984615384615385,38,3
"Arena of Valor",2015,"Multiplayer Online Battle Arena",98746138.92,94528965.41,0.957292775635343,2231,179
"Battlerite",2016,"Multiplayer Online Battle Arena",65227.95,28000,0.429263835518363,88,76
"Blankos Block Party",2020,"Multiplayer Online Battle Arena",250,0,0,3,1
"Bloodline Champions",2011,"Multiplayer Online Battle Arena",41905.32,40850,0.974816562670324,43,12
"Crab Game",2021,"Multiplayer Online Battle Arena",45950,44000,0.957562568008705,32,11
"Creative Destruction",2018,"Multiplayer Online Battle Arena",1e+05,0,0,8,1
"Deadlock",2024,"Multiplayer Online Battle Arena",12610,0,0,27,4
"Defense of the Ancients",2003,"Multiplayer Online Battle Arena",918125.6,878963.63,0.957345737881614,504,105
"Dofus",2004,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Dota 2",2013,"Multiplayer Online Battle Arena",360461163.42,313554838.46,0.869871348927135,4980,1934
"Dream Three Kingdoms 2",2015,"Multiplayer Online Battle Arena",0,0,NA,0,1
"Heavy Metal Machines",2017,"Multiplayer Online Battle Arena",12339.33,0,0,35,1
"Heroes of Newerth",2010,"Multiplayer Online Battle Arena",3073445.72,1722436.17,0.560425114649495,820,395
"Heroes of the Storm",2015,"Multiplayer Online Battle Arena",18464719.38,14254535.64,0.771987667217935,1326,506
"Hyper Scape",2020,"Multiplayer Online Battle Arena",299000,0,0,260,4
"League of Legends",2009,"Multiplayer Online Battle Arena",113596024.63,98546688.28,0.867518811516353,9588,3000
"League of Legends: Wild Rift",2021,"Multiplayer Online Battle Arena",11193427.98,8310360.3,0.742432105236094,1473,117
"Legend of Glory",2015,"Multiplayer Online Battle Arena",472.66,0,0,0,1
"Minecraft",2011,"Multiplayer Online Battle Arena",3008059.15,199650,0.066371700170856,613,142
"MOBA Legends",2016,"Multiplayer Online Battle Arena",225,0,0,3,1
"Mobile Legends: Bang Bang",2016,"Multiplayer Online Battle Arena",17019451.87,15261734.15,0.896723012384535,2261,155
"Onmyoji Arena",2018,"Multiplayer Online Battle Arena",89679.22,89679.22,1,5,1
"Pokemon Unite",2021,"Multiplayer Online Battle Arena",2802324.2,1849037.5,0.65982283563051,850,61
"Roblox",2006,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Shards of War",2015,"Multiplayer Online Battle Arena",1029.21,0,0,20,1
"SMITE",2014,"Multiplayer Online Battle Arena",12580110.75,10017832.57,0.796323082449811,556,110
"Splitgate: Arena Warfare",2019,"Multiplayer Online Battle Arena",360000,0,0,92,4
"Teeworlds",2007,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Vainglory",2014,"Multiplayer Online Battle Arena",937421.19,836825.87,0.892689304367016,262,36
"Blade & Soul",2012,"Role-Playing Game",679006.26,679006.26,1,89,7
"Cave Digger 2",2021,"Role-Playing Game",750,0,0,4,1
"Chivalry 2",2021,"Role-Playing Game",0,0,NA,0,0
"Guild Wars 2",2012,"Role-Playing Game",476005.5,350000,0.735285621699749,152,57
"Naraka: Bladepoint",2021,"Role-Playing Game",4357330.52,3922900,0.900298928895575,177,14
"Old School Runescape",2013,"Role-Playing Game",457504.2,28500,0.0622945100831861,84,26
"Red Stone",2004,"Role-Playing Game",58000,58000,1,12,2
"Stardew Valley",2016,"Role-Playing Game",97850,0,0,69,3
"Tibia",1997,"Role-Playing Game",952.94,952.94,1,1,1
"World of WarCraft",2004,"Role-Playing Game",9150537.61,5081388.91,0.555310422903119,503,225
"Acceleration of SUGURI 2",2018,"Fighting Game",410,210,0.51219512195122,8,3
"Akatsuki Blitzkampf",2007,"Fighting Game",20,0,0,3,1
"Aquapazza: Aquaplus Dream Match",2011,"Fighting Game",245,245,1,5,2
"Arcana Heart 3",2009,"Fighting Game",1000,1000,1,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!",2014,"Fighting Game",570,520,0.912280701754386,8,4
"Arcana Heart 3: LOVE MAX!!!!!",2013,"Fighting Game",410,410,1,6,2
"ARMS",2017,"Fighting Game",22759.9,13672.93,0.600746488341337,133,116
"Asuka 120% LimitOver BURNING Fest.",1998,"Fighting Game",10,0,0,3,1
"Attack on Titan Tribute Game",2013,"Fighting Game",108650,0,0,21,15
"BlazBlue: Calamity Trigger",2008,"Fighting Game",35,35,1,3,1
"BlazBlue: Central Fiction",2015,"Fighting Game",106192.78,105895.94,0.997204706383993,130,57
"BlazBlue: Chronophantasma",2012,"Fighting Game",37020.58,37020.58,1,63,15
"BlazBlue: Chronophantasma Extend",2015,"Fighting Game",4918.77,4918.77,1,28,11
"BlazBlue: Continuum Shift Extend",2011,"Fighting Game",0,0,NA,3,1
"BlazBlue: Continuum Shift II",2010,"Fighting Game",24591.01,24591.01,1,14,5
"BlazBlue: Cross Tag Battle",2018,"Fighting Game",98682.7,96434.31,0.977215965919052,133,43
"Bloody Roar Extreme",2002,"Fighting Game",1370,1370,1,3,1
"Brawlhalla",2015,"Fighting Game",4268987.83,1074264.04,0.251643734482138,880,698
"Brawlout",2017,"Fighting Game",0,0,NA,0,0
"Breakers Revenge",1998,"Fighting Game",16,0,0,3,1
"Capcom vs. SNK",2000,"Fighting Game",140,140,1,6,2
"Capcom vs. SNK 2",2001,"Fighting Game",25966.79,25966.79,1,39,24
"Chaos Code: New Sign of Catastrophe",2013,"Fighting Game",140,140,1,3,1
"Dead or Alive 4",2005,"Fighting Game",497745.31,497745.31,1,45,13
"Dead or Alive 5",2012,"Fighting Game",0,0,NA,4,2
"Dead or Alive 5 Ultimate",2013,"Fighting Game",0,0,NA,37,7
"Dead or Alive 5: Last Round",2015,"Fighting Game",15413.82,15413.82,1,46,20
"Dead or Alive 6",2019,"Fighting Game",64742.54,63632.54,0.982855167560618,67,21
"Dead or Alive Ultimate",2004,"Fighting Game",30000,30000,1,3,1
"Def Jam: Fight for NY",2004,"Fighting Game",550,360,0.654545454545455,6,3
"Dengeki Bunko: Fighting Climax",2014,"Fighting Game",60,60,1,3,1
"Dengeki Bunko: Fighting Climax Ignition",2015,"Fighting Game",3852.8,3667.3,0.951853197674419,40,14
"Digimon Rumble Arena",2001,"Fighting Game",200,0,0,5,2
"Divekick",2013,"Fighting Game",5840,5840,1,27,11
"DNF Duel",2022,"Fighting Game",129145.48,128145.48,0.992256794430591,53,13
"Dragon Ball FighterZ",2018,"Fighting Game",518915.52,491873.16,0.947886777408392,300,183
"Dragon Ball Z: Budokai 3",2004,"Fighting Game",204.06,204.06,1,3,1
"Duck Game",2014,"Fighting Game",750,0,0,5,2
"Eternal Fighter Zero",2000,"Fighting Game",1311.6,0,0,7,2
"Fantasy Strike",2019,"Fighting Game",5799.8,2610,0.450015517776475,21,5
"Fight of Animals",2019,"Fighting Game",630.68,0,0,9,4
"Fighter's History Dynamite",1994,"Fighting Game",195,195,1,3,1
"Fighting EX Layer",2018,"Fighting Game",1642.96,1632.96,0.993913424550811,16,7
"Garou: Mark of the Wolves",1999,"Fighting Game",658.71,513.71,0.779872781648981,13,4
"Granblue Fantasy Versus: Rising",2023,"Fighting Game",154742.8,151802.8,0.981000731536459,79,22
"Granblue Fantasy: Versus",2020,"Fighting Game",205435.88,171364.77,0.834152096508166,125,87
"Guilty Gear",1998,"Fighting Game",32,32,1,3,1
"Guilty Gear -STRIVE-",2021,"Fighting Game",694848.84,595274.73,0.85669673133512,319,116
"Guilty Gear Xrd -REVELATOR-",2016,"Fighting Game",36437.43,36437.43,1,61,19
"Guilty Gear Xrd -SIGN-",2014,"Fighting Game",38065.66,38065.66,1,82,39
"Guilty Gear Xrd REV 2",2017,"Fighting Game",145852.1,145657.1,0.998663029191901,136,67
"Guilty Gear XX",2002,"Fighting Game",0,0,NA,5,2
"Guilty Gear XX #Reload",2003,"Fighting Game",0,0,NA,3,1
"Guilty Gear XX Accent Core",2007,"Fighting Game",10365,10365,1,33,4
"Guilty Gear XX Accent Core Plus",2008,"Fighting Game",0,0,NA,3,1
"Guilty Gear XX Accent Core Plus R",2012,"Fighting Game",20680.9,12408.76,0.60001063783491,97,35
"Guilty Gear XX Slash",2005,"Fighting Game",10250,10250,1,6,2
"Hokuto no Ken",2005,"Fighting Game",145,145,1,3,1
"Hyper Street Fighter II",2003,"Fighting Game",10250,10250,1,8,1
"HYPERFIGHT",2019,"Fighting Game",140,0,0,4,2
"Idol Showdown",2023,"Fighting Game",188,188,1,3,1
"Injustice 2",2017,"Fighting Game",837447.16,836014.57,0.99828933684604,81,38
"Injustice: Gods Among Us",2013,"Fighting Game",35176.89,35176.89,1,101,117
"JoJo's Bizarre Adventure: All Star Battle R",2022,"Fighting Game",780,780,1,8,1
"JoJo's Bizarre Adventure: Heritage for the Future",1999,"Fighting Game",324.99,0,0,8,3
"Kill la Kill the Game: IF",2019,"Fighting Game",920,770,0.83695652173913,12,4
